event,id,send_time,received_time,time_delta
DHT11DATA,0c17614c-2396-458f-8496-2f08a280b7d3,2019-10-25 09:23:33.133,2019-10-25 09:23:34.289587,0:00:01.156587
DHT11DATA,6530ca5b-767b-4c4f-a11d-4c2e70a38bf9,2019-10-25 09:23:38.227,2019-10-25 09:23:39.252984,0:00:01.025984
DHT11DATA,fb4a6a8d-5e14-4c52-9210-e9d70c630ef5,2019-10-25 09:23:43.322,2019-10-25 09:23:44.810591,0:00:01.488591
DHT11DATA,c2a36ddb-1933-4948-8cfa-422ae92e5402,2019-10-25 09:23:48.419,2019-10-25 09:23:48.678657,0:00:00.259657
DHT11DATA,6f71cfd7-2d89-4560-a4b0-2b6a85a7d698,2019-10-25 09:23:53.512,2019-10-25 09:23:54.639122,0:00:01.127122
DHT11DATA,b501b947-af84-4430-8494-a0f83c0c789d,2019-10-25 09:23:58.620,2019-10-25 09:23:58.897634,0:00:00.277634
DHT11DATA,b4fc0b83-5e69-4a18-bc12-e32b77ef74b6,2019-10-25 09:24:03.715,2019-10-25 09:24:04.265006,0:00:00.550006
DHT11DATA,b4a6d02c-3953-45b5-8997-4e952360597f,2019-10-25 09:24:08.814,2019-10-25 09:24:09.068993,0:00:00.254993
DHT11DATA,08e832d9-6d35-47a1-badc-522251155689,2019-10-25 09:25:18.572,2019-10-25 09:25:19.220348,0:00:00.648348
DHT11DATA,0d97302e-4958-4c12-8d63-5e35019135f2,2019-10-25 09:25:23.667,2019-10-25 09:25:23.954614,0:00:00.287614
DHT11DATA,0d97302e-4958-4c12-8d63-5e35019135f2,2019-10-25 09:25:23.667,2019-10-25 09:25:23.954693,0:00:00.287693
DHT11DATA,711f4a90-0220-407f-b97c-9b08c0cab542,2019-10-25 09:25:28.762,2019-10-25 09:25:29.772486,0:00:01.010486
DHT11DATA,711f4a90-0220-407f-b97c-9b08c0cab542,2019-10-25 09:25:28.762,2019-10-25 09:25:29.773876,0:00:01.011876
DHT11DATA,ffab1b85-ad02-4f5e-bc97-667e7683abc6,2019-10-25 09:25:33.861,2019-10-25 09:25:34.162774,0:00:00.301774
DHT11DATA,ffab1b85-ad02-4f5e-bc97-667e7683abc6,2019-10-25 09:25:33.861,2019-10-25 09:25:34.163170,0:00:00.302170
DHT11DATA,005fc7e8-5ac3-43d1-a3fa-e4202a680f04,2019-10-25 09:25:38.966,2019-10-25 09:25:39.920772,0:00:00.954772
DHT11DATA,005fc7e8-5ac3-43d1-a3fa-e4202a680f04,2019-10-25 09:25:38.966,2019-10-25 09:25:39.920772,0:00:00.954772
DHT11DATA,f99aa60a-247c-44f4-9a49-aba7ef9e0826,2019-10-25 09:25:44.068,2019-10-25 09:25:44.374099,0:00:00.306099
DHT11DATA,f99aa60a-247c-44f4-9a49-aba7ef9e0826,2019-10-25 09:25:44.068,2019-10-25 09:25:44.374099,0:00:00.306099
DHT11DATA,c0571fa2-f902-45cd-be08-bfca8ee5d46f,2019-10-25 09:25:49.162,2019-10-25 09:25:51.193181,0:00:02.031181
DHT11DATA,c0571fa2-f902-45cd-be08-bfca8ee5d46f,2019-10-25 09:25:49.162,2019-10-25 09:25:51.197661,0:00:02.035661
DHT11DATA,ff996d57-c0b6-46db-9691-68ad72cb8f3b,2019-10-25 09:25:54.256,2019-10-25 09:25:54.590708,0:00:00.334708
DHT11DATA,ff996d57-c0b6-46db-9691-68ad72cb8f3b,2019-10-25 09:25:54.256,2019-10-25 09:25:54.590707,0:00:00.334707
DHT11DATA,b36cff7c-5fbf-434c-8095-ca86d6f7ea65,2019-10-25 09:25:59.349,2019-10-25 09:26:00.489403,0:00:01.140403
DHT11DATA,b36cff7c-5fbf-434c-8095-ca86d6f7ea65,2019-10-25 09:25:59.349,2019-10-25 09:26:00.490465,0:00:01.141465
DHT11DATA,80282e67-7a59-4b20-b23c-af8b542ff4d4,2019-10-25 09:26:04.443,2019-10-25 09:26:04.696251,0:00:00.253251
DHT11DATA,80282e67-7a59-4b20-b23c-af8b542ff4d4,2019-10-25 09:26:04.443,2019-10-25 09:26:04.696252,0:00:00.253252
DHT11DATA,5e771237-83d8-423c-afda-763c7fd4c7d6,2019-10-25 09:26:09.533,2019-10-25 09:26:09.871323,0:00:00.338323
DHT11DATA,5e771237-83d8-423c-afda-763c7fd4c7d6,2019-10-25 09:26:09.533,2019-10-25 09:26:09.871322,0:00:00.338322
